number,event_number,particle_name,particle_id,E,Px,Py,Pz
10256,8072,e-,11,31.8536,-21.787,-22.8219,4.37498
10257,8074,e-,11,139.321,34.0463,-19.8595,133.629
10258,8074,e+,-11,78.3919,13.4633,-16.4431,75.4563
10259,8075,e-,11,263.934,-88.5962,-147.241,200.33
10260,8076,e+,-11,93.4363,16.0091,90.3454,-17.6571
10261,8077,e+,-11,78.3885,14.6063,-59.5824,48.7991
10262,8077,e-,11,20.4398,-1.06888,20.2359,2.6739
10263,8078,e+,-11,48.0881,-38.1504,23.8989,16.907
10264,8079,e+,-11,242.943,-138.519,81.0049,182.406
10265,8080,e-,11,114.251,87.6307,7.49046,-72.9249
10266,8080,e+,-11,64.8639,-53.5536,27.0636,24.6355
10267,8081,e+,-11,31.6722,-20.4314,9.42664,-22.2897
10268,8082,e-,11,220.594,-46.7691,38.9617,-212.029
10269,8082,e+,-11,75.5386,23.8687,54.8898,-46.0811
10270,8083,e-,11,159.104,-28.1859,-50.5886,-148.191
10271,8083,e+,-11,103.481,-28.5476,28.4066,-95.3222
10272,8084,e-,11,342.766,-61.7162,-26.6679,336.107
10273,8084,e+,-11,264.539,8.98794,49.8232,259.649
10274,8085,e-,11,76.0196,-2.84145,-65.1671,-39.0403
10275,8085,e+,-11,57.0567,49.9157,26.9881,5.9611
10276,8086,e+,-11,477.978,72.187,86.8715,-464.441
10277,8087,e+,-11,237.02,-56.9282,25.1736,228.7
10278,8087,e-,11,64.3785,30.7865,17.8848,53.6369
10279,8088,e+,-11,520.717,266.364,-106.718,434.52
10280,8088,e-,11,192.294,-150.117,118.81,-18.051
10281,8089,e-,11,103.264,-34.2445,43.3945,-87.2224
10282,8089,e+,-11,48.5785,-20.5038,-16.5401,40.8154
10283,8090,e+,-11,140.838,-57.7572,-10.4257,-128.026
10284,8090,e-,11,80.2525,-15.817,-17.2329,-76.768
10285,8091,e-,11,89.9014,-17.8138,-50.3179,72.3397
10286,8092,e+,-11,332.222,217.828,-129.498,-214.831
10287,8092,e-,11,437.705,-127.679,137.102,-395.585
10288,8093,e-,11,160.874,65.1228,-23.7718,-145.17
10289,8094,e-,11,295.236,131.95,54.0243,258.524
10290,8094,e+,-11,52.4805,-16.4969,14.7117,47.5986
10291,8095,e-,11,152.294,95.9437,-61.0169,-101.317
10292,8095,e+,-11,40.0621,9.93889,23.1486,-31.1501
10293,8096,e-,11,66.0135,1.35745,50.945,41.959
10294,8097,e-,11,234.768,-41.4909,-18.3715,-230.341
10295,8098,e-,11,158.372,28.2525,23.6625,-154.025
10296,8098,e+,-11,78.4046,15.0454,-23.6851,-73.2116
10297,8099,e+,-11,164.531,13.774,-64.7471,150.627
10298,8099,e-,11,114.591,-11.8689,50.7597,102.047
10299,8100,e-,11,71.5383,64.9508,-28.2838,-9.95754
10300,8100,e+,-11,135.918,-35.1698,33.8767,126.843
10301,8101,e-,11,131.725,39.1773,27.5337,-122.713
10302,8101,e+,-11,64.3494,3.77996,30.3253,-56.6298
10303,8102,e+,-11,21.9822,-16.1976,-9.1808,11.6862
10304,8103,e+,-11,259.098,16.0457,110.387,-233.857
10305,8103,e-,11,33.9835,-21.5577,26.0954,-3.02868
10306,8104,e+,-11,110.66,-48.1651,-98.5574,14.5634
10307,8106,e+,-11,41.2656,19.0861,17.1214,32.333
10308,8106,e-,11,48.1685,-5.09427,21.3842,42.8598
10309,8107,e+,-11,78.2239,-1.24097,-28.733,72.7451
10310,8107,e-,11,27.839,1.01233,13.8648,24.1196
