number,event_number,particle_name,particle_id,E,Px,Py,Pz
11550,8446,e+,-11,116.251,-93.6199,8.80534,68.3522
11551,8447,e+,-11,59.5529,57.1873,-16.2911,-3.28053
11552,8447,e-,11,38.6447,-18.4913,29.9731,15.909
11553,8448,e-,11,56.5562,40.3012,18.7186,-34.9863
11554,8448,e+,-11,75.2838,-38.9778,17.1994,-62.069
11555,8449,e+,-11,141.514,49.883,81.5144,104.371
11556,8449,e-,11,18.5742,8.18699,16.6694,0.327158
11557,8451,e+,-11,238.606,72.0637,-106.499,-200.991
11558,8452,e-,11,332.819,22.4044,-101.103,-316.299
11559,8453,e-,11,26.117,15.655,4.23644,20.4712
11560,8454,e+,-11,116.829,-98.503,-59.8503,-19.0847
11561,8454,e-,11,86.7862,23.4296,78.5127,-28.612
11562,8456,e+,-11,243.167,-52.2967,-146.221,-187.122
11563,8458,e-,11,143.972,50.5512,-10.2178,134.417
11564,8458,e+,-11,76.4541,-5.67913,-39.4693,65.2315
11565,8459,e-,11,55.7249,41.4473,-28.1789,-24.3585
11566,8459,e+,-11,111.768,-17.2877,-7.99852,110.133
11567,8460,e-,11,542.991,-111.971,63.6907,-527.49
11568,8460,e+,-11,29.5367,28.6068,-3.11053,-6.66253
11569,8461,e-,11,62.7074,-40.5064,45.8434,13.7777
11570,8461,e+,-11,21.4234,-7.02449,9.73872,17.7419
11571,8463,e+,-11,152.627,48.2931,101.667,-103.084
11572,8464,e-,11,176.474,-28.359,46.042,-167.985
11573,8464,e+,-11,140.808,-15.642,-26.4274,137.418
11574,8465,e+,-11,396.995,67.151,-4.81002,-391.245
11575,8465,e-,11,44.8253,-10.5436,-15.8182,-40.5946
11576,8466,e+,-11,122.01,-119.305,15.5293,-20.2865
11577,8466,e-,11,41.6437,19.2122,-8.67773,35.9137
11578,8467,e+,-11,242.001,-25.2054,105.75,-216.209
11579,8468,e+,-11,69.5056,-30.1463,-19.0753,-59.652
11580,8470,e+,-11,175.239,-58.3299,32.1314,162.092
11581,8470,e-,11,83.0909,-28.0624,14.2586,76.8979
11582,8472,e+,-11,41.1685,-27.2919,-28.8827,10.7604
11583,8472,e-,11,90.8434,28.9733,26.5913,-81.89
11584,8473,e+,-11,180.984,53.2123,22.5651,171.507
11585,8473,e-,11,38.5498,3.34144,15.1925,-35.2719
11586,8474,e-,11,30.2205,-16.557,23.9785,8.0108
11587,8475,e+,-11,104.884,44.447,-52.9355,78.8861
11588,8475,e-,11,63.6268,29.7457,49.8736,-26.0037
11589,8476,e+,-11,84.9498,-58.682,47.8999,-38.4512
11590,8476,e-,11,108.041,10.3644,-45.2575,97.5566
11591,8477,e-,11,134.674,18.0541,-49.5674,123.912
11592,8479,e+,-11,35.0505,-28.6368,-19.4874,5.35825
11593,8480,e-,11,53.6842,-22.0908,-23.8219,42.7377
11594,8481,e+,-11,174.5,-16.6873,95.8044,-144.891
11595,8481,e-,11,100.085,-43.5732,-85.6794,-27.8812
11596,8482,e+,-11,50.4389,20.7967,13.8492,43.8153
11597,8483,e+,-11,79.7314,-67.3565,1.41847,42.6401
11598,8483,e-,11,54.3054,-11.3679,-2.19611,53.0568
